1717674483,06/06/24 04:48,ST,ONTIME,0,4:45a,S2
1717676642,06/06/24 05:24,AI,ONTIME,6,5:15a,S2
1717678262,06/06/24 05:51,ST,ONTIME,8,5:45a,S2
1717680242,06/06/24 06:24,AI,ONTIME,1,6:20a,S2
1717683302,06/06/24 07:15,ST,ONTIME,9,7:05a,S2
1717685282,06/06/24 07:48,AI,LATE,10,7:35a,S2
1717687442,06/06/24 08:24,ST,ONTIME,1,8:20a,S2
1717689422,06/06/24 08:57,AI,ONTIME,1,8:55a,S2
1717691582,06/06/24 09:33,ST,ONTIME,0,9:30a,S2
1717693745,06/06/24 10:09,AI,ONTIME,1,10:05a,S2
1717695722,06/06/24 10:42,ST,ONTIME,4,10:35a,S2
1717697702,06/06/24 11:15,AI,ONTIME,7,11:10a,S2
1717701302,06/06/24 12:15,ST,ONTIME,2,12:10p,S2
1717703282,06/06/24 12:48,AI,ONTIME,0,12:45p,S2
1717710482,06/06/24 14:48,ST,ONTIME,0,2:45p,S2
1717712642,06/06/24 15:24,AI,ONTIME,8,3:15p,S2
1717714982,06/06/24 16:03,ST,LATE,10,3:50p,S2
1717716962,06/06/24 16:36,AI,ONTIME,8,4:25p,S2
1717719487,06/06/24 17:18,ST,LATE,15,5:00p,S2
1717721282,06/06/24 17:48,AI,LATE,10,5:35p,S2
1717723262,06/06/24 18:21,ST,ONTIME,8,6:10p,S2
1717725242,06/06/24 18:54,AI,ONTIME,6,6:45p,S2
1717727042,06/06/24 19:24,ST,ONTIME,6,7:20p,S2
1717729207,06/06/24 20:00,AI,ONTIME,2,7:55p,S2
1717731902,06/06/24 20:45,ST,ONTIME,7,8:35p,S2
1717733702,06/06/24 21:15,AI,ONTIME,2,9:10p,S2
1717737842,06/06/24 22:24,ST,ONTIME,1,10:20p,S2
1717739642,06/06/24 22:54,AI,ONTIME,1,10:50p,S2
1717760882,06/07/24 04:48,ST,ONTIME,0,4:45a,S2
1717762682,06/07/24 05:18,AI,ONTIME,0,5:15a,S2
1717764482,06/07/24 05:48,ST,ONTIME,2,5:45a,S2
1717766642,06/07/24 06:24,AI,ONTIME,1,6:20a,S2
1717769342,06/07/24 07:09,ST,ONTIME,1,7:05a,S2
1717771142,06/07/24 07:39,AI,ONTIME,1,7:35a,S2
1717773842,06/07/24 08:24,ST,ONTIME,1,8:20a,S2
1717775823,06/07/24 08:57,AI,ONTIME,-1,8:55a,S2
1717778161,06/07/24 09:36,ST,ONTIME,3,9:30a,S2
1717780322,06/07/24 10:12,AI,ONTIME,4,10:05a,S2
1717782122,06/07/24 10:42,ST,ONTIME,4,10:35a,S2
1717783923,06/07/24 11:12,AI,ONTIME,4,11:10a,S2
1717788062,06/07/24 12:21,ST,ONTIME,2,12:10p,S2
1717788782,06/07/24 12:33,ST,ONTIME,0,12:30p,CA
1717790042,06/07/24 12:54,AI,ONTIME,6,12:45p,S2
1717791482,06/07/24 13:18,AI,LATE,10,1:10p,CA
1717797062,06/07/24 14:51,ST,ONTIME,0,2:45p,S2
1717798862,06/07/24 15:21,ST,ONTIME,3,3:15p,CA
1717799042,06/07/24 15:24,AI,ONTIME,6,3:15p,S2
1717800844,06/07/24 15:54,AI,ONTIME,1,3:50p,CA
1717801203,06/07/24 16:00,ST,ONTIME,7,3:50p,S2
1717802822,06/07/24 16:27,AI,ONTIME,1,4:25p,S2
1717802822,06/07/24 16:27,ST,ONTIME,1,4:25p,CA
1717804982,06/07/24 17:03,ST,ONTIME,0,5:00p,S2
1717804982,06/07/24 17:03,AI,ONTIME,0,5:00p,CA
1717807142,06/07/24 17:39,AI,ONTIME,1,5:35p,S2
1717807142,06/07/24 17:39,ST,ONTIME,1,5:35p,CA
1717809301,06/07/24 18:15,ST,ONTIME,2,6:10p,S2
1717809301,06/07/24 18:15,AI,ONTIME,2,6:10p,CA
1717811284,06/07/24 18:48,AI,ONTIME,0,6:45p,S2
1717813622,06/07/24 19:27,ST,ONTIME,4,7:20p,S2
1717815422,06/07/24 19:57,AI,ONTIME,-1,7:55p,S2
1717818663,06/07/24 20:51,ST,LATE,13,8:35p,S2
